date,amount,category,account,description,type,direction
2026-04-01,45.00,Food & Dining,Octopus,Canteen lunch + dinner,need,debit
2026-04-01,12.00,Transport,Octopus,MTR to campus,need,debit
2026-04-02,38.00,Food & Dining,Octopus,Canteen meals,need,debit
2026-04-02,20.00,Food & Dining,Cash,Bubble tea and snacks,want,debit
2026-04-03,52.00,Food & Dining,Octopus,Canteen + 7-Eleven,need,debit
2026-04-04,48.00,Food & Dining,Octopus,Canteen meals,need,debit
2026-04-05,75.00,Food & Dining,Cash,Hotpot dinner with friends,want,debit
2026-04-05,30.00,Social,Cash,KTV contribution,want,debit
2026-04-06,42.00,Food & Dining,Octopus,Canteen lunch + dinner,need,debit
2026-04-07,55.00,Food & Dining,Cash,Brunch at Pacific Coffee,want,debit
2026-04-07,18.00,Transport,Octopus,Bus + MTR,need,debit
2026-04-08,40.00,Food & Dining,Octopus,Canteen meals,need,debit
2026-04-09,68.00,Food & Dining,Cash,Sushi dinner,want,debit
2026-04-10,44.00,Food & Dining,Octopus,Canteen meals,need,debit
2026-04-11,36.00,Food & Dining,Octopus,Canteen lunch only,need,debit
2026-04-12,82.00,Food & Dining,Cash,BBQ with hallmates,want,debit
2026-04-13,47.00,Food & Dining,Octopus,Canteen meals,need,debit
2026-04-14,39.00,Food & Dining,Octopus,Canteen meals,need,debit
